"Component Count:";"34"
"Reference";"Quantity";"Value";"Footprint"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, ";"12";"C";"C_0603"
"D1, ";"1";"1N5819";"D_SOD-323"
"D2, D3, ";"2";"LED";"LED_0603"
"J1, J2, ";"2";"Conn_01x03";"PinHeader_1x03_P2.54mm"
"J3, J5, ";"2";"Conn_01x20";"PinHeader_1x20_P2.54mm_Vertical"
"J4, ";"1";"SWD";"PinHeader_1x04_P2.54mm_Horizontal"
"P1, ";"1";"USB_C_Plug_USB2.0";"USB_C"
"R1, R2, R7, ";"3";"10k";"R_0603"
"R3, ";"1";"47k";"R_0603"
"R4, R5, ";"2";"22R";"R_0603"
"R6, R8, ";"2";"1k";"R_0402"
"SW1, ";"1";"RST";"SW_Push_SPST_NO_Alps_SKRK"
"U1, ";"1";"AP1117-33";"SOT-223-3_TabPin2"
"U2, ";"1";"STM32F103C8Tx";"LQFP-48_7x7mm_P0.5mm"
"Y1, ";"1";"8MHz";"Crystal_HC49-4H_Vertical"
"Y2, ";"1";"32.768";"Crystal_DS26_D2.0mm_L6.0mm_Horizontal_1EP_style1"
